cell_id,admin2,admin1,admin1_iso,country_iso
539735,,Sarawak,MY-13,MY
508008,Merangin,Jambi,ID-JA,ID
535418,,Sarawak,MY-13,MY
535415,,Sarawak,MY-13,MY
584351,,Binh Thuan,VN-40,VM
616027,,Quang Tri,VN-25,VM
611707,,Saravan,LA-SL,LA
636179,,Houaphan,LA-HO,LA
512389,Kutai Kartanegara,Kalimantan Timur,ID-KI,ID
479359,Mappi,Papua,ID-PP,ID
503681,Mentawai Islands,Sumatera Barat,ID-SB,ID
503733,Katingan,Kalimantan Tengah,ID-KT,ID
479229,Cianjur,Jawa Barat,ID-JB,ID
499409,Seruyan,Kalimantan Tengah,ID-KT,ID
489434,Asmat,Papua,ID-PP,ID
510931,East Kotawaringin,Kalimantan Tengah,ID-KT,ID
503721,Ketapang,Kalimantan Barat,ID-KB,ID
477815,Pamekasan,Jawa Timur,ID-JI,ID
506718,Sarmi,Papua,ID-PP,ID
511010,Maybrat,Papua Barat,ID-PB,ID
476407,Selayar Islands,Sulawesi Selatan,ID-SN,ID
551204,,Kedah,MY-02,MY
469203,East Managgarai,Nusa Tenggara Timur,ID-NT,ID
492224,Kotabaru,Kalimantan Selatan,ID-KS,ID
500946,Intan Jaya,Papua,ID-PP,ID
480665,Lebak,Banten,ID-BT,ID
482115,Indramayu,Jawa Barat,ID-JB,ID
529613,,Johor,MY-01,MY
476348,Sukabumi,Jawa Barat,ID-JB,ID
476444,Western Southeast Maluku,Maluku,ID-ML,ID
486564,Boven Digoel,Papua,ID-PP,ID
459128,Sabu Raijua,Nusa Tenggara Timur,ID-NT,ID
462001,East Sumba,Nusa Tenggara Timur,ID-NT,ID
500843,Ketapang,Kalimantan Barat,ID-KB,ID
487850,North Bengkulu,Bengkulu,ID-BE,ID
528207,,Sarawak,MY-13,MY
513826,West Kutai,Kalimantan Timur,ID-KI,ID
470655,Lembata,Nusa Tenggara Timur,ID-NT,ID
533974,,Sarawak,MY-13,MY
484986,Serang,Banten,ID-BT,ID
470608,Tulungagung,Jawa Timur,ID-JI,ID
477787,Sukabumi,Jawa Barat,ID-JB,ID
555528,Mueang Narathiwat,Narathiwat,TH-96,TH
502328,North Konawe,Sulawesi Tenggara,ID-SG,ID
479233,Sumedang,Jawa Barat,ID-JB,ID
479361,Boven Digoel,Papua,ID-PP,ID
510936,Pulang Pisau,Kalimantan Tengah,ID-KT,ID
484990,Karawang,Jawa Barat,ID-JB,ID
500922,East Seram,Maluku,ID-ML,ID
477819,Sumenep,Jawa Timur,ID-JI,ID
469210,Sikka,Nusa Tenggara Timur,ID-NT,ID
508009,Merangin,Jambi,ID-JA,ID
480798,Mappi,Papua,ID-PP,ID
519570,Kapuas Hulu,Kalimantan Barat,ID-KB,ID
505170,Seruyan,Kalimantan Tengah,ID-KT,ID
470712,Merauke,Papua,ID-PP,ID
523929,North Gorontalo,Gorontalo,ID-GO,ID
508153,Mamberamo Raya,Papua,ID-PP,ID
477809,Bojonegoro,Jawa Timur,ID-JI,ID
496619,Kaimana,Papua Barat,ID-PB,ID
495059,East Ogan Komering Ulu,Sumatera Selatan,ID-SS,ID
510958,Mamuju Utara,Sulawesi Barat,ID-SR,ID
548401,Panglima Sugala,Tawi-Tawi,PH-TAW,RP
498053,Kaimana,Papua Barat,ID-PB,ID
476481,Merauke,Papua,ID-PP,ID
477800,Batang,Jawa Tengah,ID-JT,ID
565702,Loreto,Agusan del Sur,PH-AGS,RP
502254,Musi Rawas,Sumatera Selatan,ID-SS,ID
473478,Kebumen,Jawa Tengah,ID-JT,ID
499439,Pinrang,Sulawesi Selatan,ID-SN,ID
470648,Ende,Nusa Tenggara Timur,ID-NT,ID
472053,Lumajang,Jawa Timur,ID-JI,ID
499497,Kaimana,Papua Barat,ID-PB,ID
474919,Kebumen,Jawa Tengah,ID-JT,ID
497982,Tanah Bumbu,Kalimantan Selatan,ID-KS,ID
487999,Asmat,Papua,ID-PP,ID
470642,Manggarai,Nusa Tenggara Timur,ID-NT,ID
554149,,Sabah,MY-12,MY
499521,Jayapura,Papua,ID-PP,ID
515208,Indragiri Hulu,Riau,ID-RI,ID
499441,Luwu,Sulawesi Selatan,ID-SN,ID
597288,Sanam Chai Khet,Chachoengsao,TH-24,TH
522411,Siak,Riau,ID-RI,ID
470643,East Managgarai,Nusa Tenggara Timur,ID-NT,ID
505257,Teluk Wondama,Papua Barat,ID-PB,ID
552709,,Sabah,MY-12,MY
516643,Tanah Datar,Sumatera Barat,ID-SB,ID
516641,Padang Pariaman,Sumatera Barat,ID-SB,ID
503706,South Bangka,Bangka Belitung,ID-BB,ID
469192,Sumbawa,Nusa Tenggara Barat,ID-NB,ID
475006,Western Southeast Maluku,Maluku,ID-ML,ID
486560,Boven Digoel,Papua,ID-PP,ID
497981,Banjar,Kalimantan Selatan,ID-KS,ID
490870,Mimika,Papua,ID-PP,ID
492314,Asmat,Papua,ID-PP,ID
525336,Kapuas Hulu,Kalimantan Barat,ID-KB,ID
516704,West Kutai,Kalimantan Timur,ID-KI,ID
476352,Garut,Jawa Barat,ID-JB,ID
499518,Sarmi,Papua,ID-PP,ID
489375,Wakatobi,Sulawesi Tenggara,ID-SG,ID
488004,Boven Digoel,Papua,ID-PP,ID
538250,,Pahang,MY-06,MY
463441,East Sumba,Nusa Tenggara Timur,ID-NT,ID
474926,Magetan,Jawa Timur,ID-JI,ID
462020,South Central Timor,Nusa Tenggara Timur,ID-NT,ID
477795,Kuningan,Jawa Barat,ID-JB,ID
498056,Kaimana,Papua Barat,ID-PB,ID
590094,Veal Veaeng,Pursat,KH-15,CB
522399,Mandailing Natal,Sumatera Utara,ID-SU,ID
490847,East Seram,Maluku,ID-ML,ID
531087,,Sarawak,MY-13,MY
479221,Pandeglang,Banten,ID-BT,ID
500831,Belitung,Bangka Belitung,ID-BB,ID
490810,Muna,Sulawesi Tenggara,ID-SG,ID
529645,,Sarawak,MY-13,MY
512454,Manokwari,Papua Barat,ID-PB,ID
557061,Columbio,Sultan Kudarat,PH-SUK,RP
510884,South Pesisir,Sumatera Barat,ID-SB,ID
477923,Merauke,Papua,ID-PP,ID
499516,Tolikara,Papua,ID-PP,ID
467742,Klungkung,Bali,ID-BA,ID
500887,North Konawe,Sulawesi Tenggara,ID-SG,ID
503737,Pulang Pisau,Kalimantan Tengah,ID-KT,ID
479328,Western Southeast Maluku,Maluku,ID-ML,ID
467746,Central Lombok,Nusa Tenggara Barat,ID-NB,ID
469186,Central Lombok,Nusa Tenggara Barat,ID-NB,ID
490882,Bintang Mountains,Papua,ID-PP,ID
464899,North Central Timor,Nusa Tenggara Timur,ID-NT,ID
489438,Asmat,Papua,ID-PP,ID
472054,Jember,Jawa Timur,ID-JI,ID
505252,Teluk Bintuni,Papua Barat,ID-PB,ID
476445,Western Southeast Maluku,Maluku,ID-ML,ID
510927,West Kotawaringin,Kalimantan Tengah,ID-KT,ID
499382,Ogan Komering Ilir,Sumatera Selatan,ID-SS,ID
495105,Kotabaru,Kalimantan Selatan,ID-KS,ID
485120,Boven Digoel,Papua,ID-PP,ID
467752,Sumbawa,Nusa Tenggara Barat,ID-NB,ID
475039,Merauke,Papua,ID-PP,ID
503839,Jayapura,Papua,ID-PP,ID
500950,Puncak,Papua,ID-PP,ID
512446,Sorong,Papua Barat,ID-PB,ID
508021,West Bangka,Bangka Belitung,ID-BB,ID
500860,Banjar,Kalimantan Selatan,ID-KS,ID
499524,Keerom,Papua,ID-PP,ID
474933,Pasuruan,Jawa Timur,ID-JI,ID
479329,Western Southeast Maluku,Maluku,ID-ML,ID
479255,Sumenep,Jawa Timur,ID-JI,ID
467766,Nagekeo,Nusa Tenggara Timur,ID-NT,ID
477793,Tasikmalaya,Jawa Barat,ID-JB,ID
493621,Tulangbawang,Lampung,ID-LA,ID
472072,Bima,Nusa Tenggara Barat,ID-NB,ID
500817,Muara Enim,Sumatera Selatan,ID-SS,ID
496618,Kaimana,Papua Barat,ID-PB,ID
522439,Landak,Kalimantan Barat,ID-KB,ID
459135,Kupang,Nusa Tenggara Timur,ID-NT,ID
479250,Lamongan,Jawa Timur,ID-JI,ID
604568,Panukulan,Quezon,PH-QUE,RP
526832,North Halmahera,Maluku Utara,ID-MU,ID
485057,Wakatobi,Sulawesi Tenggara,ID-SG,ID
473488,Kediri,Jawa Timur,ID-JI,ID
526736,Singapore,Singapore,SN,SN
480663,Pandeglang,Banten,ID-BT,ID
466311,Sumbawa,Nusa Tenggara Barat,ID-NB,ID
485114,Asmat,Papua,ID-PP,ID
545504,,Sabah,MY-12,MY
473486,Ponorogo,Jawa Timur,ID-JI,ID
496639,Yalimo,Papua,ID-PP,ID
487859,Tanggamus,Lampung,ID-LA,ID
476355,Banjar,Jawa Barat,ID-JB,ID
476363,Semarang,Jawa Tengah,ID-JT,ID
472158,Merauke,Papua,ID-PP,ID
475032,Merauke,Papua,ID-PP,ID
554150,,Sabah,MY-12,MY
506564,South Pesisir,Sumatera Barat,ID-SB,ID
459134,Kupang,Nusa Tenggara Timur,ID-NT,ID
513839,Donggala,Sulawesi Tengah,ID-ST,ID
489371,Muna,Sulawesi Tenggara,ID-SG,ID
474930,Jombang,Jawa Timur,ID-JI,ID
490735,Kaur,Bengkulu,ID-BE,ID
512372,Katingan,Kalimantan Tengah,ID-KT,ID
498001,Sidenreng Rappang,Sulawesi Selatan,ID-SN,ID
500848,West Kotawaringin,Kalimantan Tengah,ID-KT,ID
487921,Bulukumba,Sulawesi Selatan,ID-SN,ID
525280,Padang Lawas,Sumatera Utara,ID-SU,ID
512368,Seruyan,Kalimantan Tengah,ID-KT,ID
479248,Tuban,Jawa Timur,ID-JI,ID
467743,Klungkung,Bali,ID-BA,ID
496625,Dogiyai,Papua,ID-PP,ID
492307,Mimika,Papua,ID-PP,ID
510968,Morowali,Sulawesi Tengah,ID-ST,ID
499422,Banjar,Kalimantan Selatan,ID-KS,ID
476404,Selayar Islands,Sulawesi Selatan,ID-SN,ID
474913,Tasikmalaya,Jawa Barat,ID-JB,ID
549768,,Kelantan,MY-03,MY
516689,Melawi,Kalimantan Barat,ID-KB,ID
541107,Southwest Aceh,Aceh,ID-AC,ID
460579,South Central Timor,Nusa Tenggara Timur,ID-NT,ID
499372,Rejang Lebong,Bengkulu,ID-BE,ID
531034,Central Tapanuli,Sumatera Utara,ID-SU,ID
489359,Maros,Sulawesi Selatan,ID-SN,ID
505251,Teluk Bintuni,Papua Barat,ID-PB,ID
492172,South Bengkulu,Bengkulu,ID-BE,ID
473600,Merauke,Papua,ID-PP,ID
467755,Bima,Nusa Tenggara Barat,ID-NB,ID
509539,Sula Islands,Maluku Utara,ID-MU,ID
476447,Western Southeast Maluku,Maluku,ID-ML,ID
463438,West Sumba,Nusa Tenggara Timur,ID-NT,ID
469181,Badung,Bali,ID-BA,ID
503740,Tapin,Kalimantan Selatan,ID-KS,ID
538253,,Pahang,MY-06,MY
479257,Sumenep,Jawa Timur,ID-JI,ID
480672,Sumedang,Jawa Barat,ID-JB,ID
515262,West Kutai,Kalimantan Timur,ID-KI,ID
559944,Pantukan,Compostela Valley,PH-COM,RP
528199,Sambas,Kalimantan Barat,ID-KB,ID
505169,Seruyan,Kalimantan Tengah,ID-KT,ID
495198,Yahukimo,Papua,ID-PP,ID
486558,Asmat,Papua,ID-PP,ID
529642,,Sarawak,MY-13,MY
543989,Central Aceh,Aceh,ID-AC,ID
521024,Kutai Kartanegara,Kalimantan Timur,ID-KI,ID
479224,Pandeglang,Banten,ID-BT,ID
474931,Pasuruan,Jawa Timur,ID-JI,ID
477790,Bandung,Jawa Barat,ID-JB,ID
495061,Mesuji,Lampung,ID-LA,ID
469205,Ngada,Nusa Tenggara Timur,ID-NT,ID
474917,Cilacap,Jawa Tengah,ID-JT,ID
499379,Ogan Ilir,Sumatera Selatan,ID-SS,ID
483682,Boven Digoel,Papua,ID-PP,ID
522513,East Halmahera,Maluku Utara,ID-MU,ID
487994,Asmat,Papua,ID-PP,ID
462003,East Sumba,Nusa Tenggara Timur,ID-NT,ID
549837,,Sabah,MY-12,MY
551211,,Terengganu,MY-11,MY
500808,North Bengkulu,Bengkulu,ID-BE,ID
532531,,Sarawak,MY-13,MY
473594,Merauke,Papua,ID-PP,ID
552707,,Sabah,MY-12,MY
482109,Bekasi,Jawa Barat,ID-JB,ID
510992,South Halmahera,Maluku Utara,ID-MU,ID
506708,Mamberamo Raya,Papua,ID-PP,ID
582982,Balangiga,Eastern Samar,PH-EAS,RP
498068,Intan Jaya,Papua,ID-PP,ID
502359,Central Maluku,Maluku,ID-ML,ID
470644,East Managgarai,Nusa Tenggara Timur,ID-NT,ID
505144,Central Bangka,Bangka Belitung,ID-BB,ID
479242,Semarang,Jawa Tengah,ID-JT,ID
516651,Indragiri Hulu,Riau,ID-RI,ID
523838,Mandailing Natal,Sumatera Utara,ID-SU,ID
470613,Lumajang,Jawa Timur,ID-JI,ID
477887,Western Southeast Maluku,Maluku,ID-ML,ID
463461,Belu,Nusa Tenggara Timur,ID-NT,ID
469198,West Manggarai,Nusa Tenggara Timur,ID-NT,ID
502252,Musi Rawas,Sumatera Selatan,ID-SS,ID
480797,Mappi,Papua,ID-PP,ID
610221,Pyapon,Ayeyawady,MM-07,BM
484979,West Lampung,Lampung,ID-LA,ID
513893,Manokwari,Papua Barat,ID-PB,ID
521017,Murung Raya,Kalimantan Tengah,ID-KT,ID
523878,Bengkayang,Kalimantan Barat,ID-KB,ID
486419,West Lampung,Lampung,ID-LA,ID
542574,,Pahang,MY-06,MY
506693,Teluk Bintuni,Papua Barat,ID-PB,ID
487991,Asmat,Papua,ID-PP,ID
513756,Mentawai Islands,Sumatera Barat,ID-SB,ID
469177,Banyuwangi,Jawa Timur,ID-JI,ID
482238,Mappi,Papua,ID-PP,ID
473595,Merauke,Papua,ID-PP,ID
475007,Western Southeast Maluku,Maluku,ID-ML,ID
477791,Bandung,Jawa Barat,ID-JB,ID
479326,Western Southeast Maluku,Maluku,ID-ML,ID
476365,Sragen,Jawa Tengah,ID-JT,ID
486421,Pesawaran,Lampung,ID-LA,ID
495099,Tanah Laut,Kalimantan Selatan,ID-KS,ID
474938,Situbondo,Jawa Timur,ID-JI,ID
470636,Bima,Nusa Tenggara Barat,ID-NB,ID
479319,Southwest Maluku,Maluku,ID-ML,ID
473480,Purworejo,Jawa Tengah,ID-JT,ID
509522,Poso,Sulawesi Tengah,ID-ST,ID
512317,Mentawai Islands,Sumatera Barat,ID-SB,ID
503767,East Luwu,Sulawesi Selatan,ID-SN,ID
503692,Musi Rawas,Sumatera Selatan,ID-SS,ID
505142,Banyu Asin,Sumatera Selatan,ID-SS,ID
509450,Bungo,Jambi,ID-JA,ID
510948,Balikpapan,Kalimantan Timur,ID-KI,ID
575702,,Kien Giang,VN-47,VM
