cell_id,admin,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
557057,PH-SUK,15.83,16.76,17.68,18.27,9.92,6.64,6.50,9.56,8.34,7.90,12.99,14.51,21.46,22.72,23.96,24.77,13.44,9.00,8.81,12.96,11.30,10.71,17.62,19.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557058,PH-SUK,17.53,20.08,23.08,23.53,14.47,10.38,10.36,14.19,12.07,11.09,16.09,16.80,23.77,27.22,31.29,31.90,19.61,14.08,14.04,19.23,16.36,15.03,21.81,22.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557059,PH-SUK,28.13,32.10,36.59,35.88,22.19,15.20,16.98,16.84,18.45,18.22,22.70,25.58,38.13,43.51,49.61,48.64,30.09,20.60,23.02,22.83,25.01,24.71,30.78,34.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557060,PH-SUK,17.24,19.50,22.05,21.98,13.56,9.54,10.52,10.51,11.48,11.39,14.47,16.16,23.38,26.44,29.89,29.80,18.38,12.94,14.26,14.25,15.56,15.44,19.61,21.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557061,PH-SUK,28.17,32.90,42.70,44.98,26.88,21.55,27.28,22.22,23.92,24.79,26.83,25.19,38.19,44.60,57.89,60.97,36.44,29.21,36.98,30.13,32.43,33.60,36.37,34.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557062,PH-DAS,30.33,33.27,39.14,39.36,21.18,16.72,22.59,18.94,19.99,21.73,26.35,26.35,52.05,57.11,67.17,67.55,36.35,28.70,38.77,32.51,34.31,37.30,45.22,45.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557063,PH-DAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557065,PH-DAO,2.31,2.46,5.62,8.32,7.98,5.98,5.05,5.85,6.41,5.11,6.17,4.64,3.97,4.22,9.65,14.27,13.70,10.26,8.66,10.04,11.00,8.77,10.59,7.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557066,PH-DAO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590073,MM-05,0.31,0.32,0.35,0.24,0.02,0.00,0.00,0.00,0.01,0.04,0.24,0.30,0.27,0.28,0.30,0.21,0.02,0.00,0.00,0.00,0.01,0.04,0.21,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590074,MM-05,0.29,0.31,0.34,0.23,0.02,0.00,0.00,0.00,0.01,0.04,0.23,0.27,0.25,0.27,0.29,0.20,0.02,0.00,0.00,0.00,0.00,0.03,0.20,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
